wall_time,event_receive_ros_time_sec,source_ros_time_sec,elapsed_sec,kind,name,phase,duration_sec,source_node,detail,raw
2026-07-05 14:16:08.071,1783232168.071066856,1783232168.070900202,413.775537760,sequence,place_pose_direct_height,begin,-1.000000000,task_manager_node,,source_ros_time=1783232168.070900202|source_node=task_manager_node|kind=sequence|name=place_pose_direct_height|phase=begin
2026-07-05 14:16:08.071,1783232168.071088076,1783232168.070929289,413.775558823,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=moving,source_ros_time=1783232168.070929289|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=moving
2026-07-05 14:16:08.071,1783232168.071413279,1783232168.071368217,413.775884107,service,set_controller_mode,end,0.000438929,task_manager_node,"mode=moving,ok=1","source_ros_time=1783232168.071368217|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=moving,ok=1"
2026-07-05 14:16:08.071,1783232168.071440697,1783232168.071404219,413.775911364,action,place_direct_height,begin,-1.000000000,task_manager_node,"target_x=0.4,target_y=0.0150001,target_z=-0.1","source_ros_time=1783232168.071404219|source_node=task_manager_node|kind=action|name=place_direct_height|phase=begin|detail=target_x=0.4,target_y=0.0150001,target_z=-0.1"
2026-07-05 14:16:08.071,1783232168.071516514,1783232168.071483374,413.775987097,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=4,points=2,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783232168.071483374|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=4,points=2,max_v=1,max_a=2,blend_radius=0.1"
2026-07-05 14:16:11.384,1783232171.384685516,1783232171.384556770,417.089156358,motion,move_joint,end,3.313073397,task_manager_node,"seq=4,ok=1,message=success","source_ros_time=1783232171.384556770|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=4,ok=1,message=success"
2026-07-05 14:16:11.585,1783232171.584994793,1783232171.584861755,417.289465678,action,suction_off,begin,-1.000000000,task_manager_node,,source_ros_time=1783232171.584861755|source_node=task_manager_node|kind=action|name=suction_off|phase=begin
2026-07-05 14:16:12.585,1783232172.585445642,1783232172.585235596,418.289916425,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=moving,source_ros_time=1783232172.585235596|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=moving
2026-07-05 14:16:12.585,1783232172.585983276,1783232172.585854769,418.290453934,service,set_controller_mode,end,0.000619173,task_manager_node,"mode=moving,ok=1","source_ros_time=1783232172.585854769|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=moving,ok=1"
2026-07-05 14:16:12.586,1783232172.586045027,1783232172.585894823,418.290515716,action,suction_off,end,1.001033068,task_manager_node,"ok=1,suction_ok=1,mode_ok=1","source_ros_time=1783232172.585894823|source_node=task_manager_node|kind=action|name=suction_off|phase=end|detail=ok=1,suction_ok=1,mode_ok=1"
2026-07-05 14:16:12.886,1783232172.886749744,1783232172.886455297,418.591220409,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=5,points=2,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783232172.886455297|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=5,points=2,max_v=1,max_a=2,blend_radius=0.1"
2026-07-05 14:16:16.503,1783232176.503360748,1783232176.503149748,422.207831422,motion,move_joint,end,3.616694450,task_manager_node,"seq=5,ok=1,message=success","source_ros_time=1783232176.503149748|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=5,ok=1,message=success"
